=== POLICY BENCHMARK ===
mode=quick iterations=3
capacity=1000 universe=10000 ops=100000 kpp=32


VERIFY ARC:      34964 hits, 65036 misses, 63036 evictions
VERIFY ARC-FLAT: 34964 hits, 65036 misses, 63036 evictions
VERIFY ARC-FLATLL: 34964 hits, 65036 misses, 63036 evictions
VERIFY ARC-FLATLL2: 34964 hits, 65036 misses, 63036 evictions
VERIFY HYBRID: 33151 hits, 66849 misses, 64849 evictions
VERIFY HYBRID-POS: 35035 hits, 64965 misses, 62965 evictions
VERIFY HYBRID-FB: 33151 hits, 66849 misses, 64849 evictions
MATCH: All ARC variants produce identical hit/miss counts.
VERIFY AUG-TS: 33386 hits, 66614 misses, 64614 evictions
VERIFY AUG-PRED: 33398 hits, 66602 misses, 64602 evictions
VERIFY AUG-GS: 25044 hits, 74956 misses, 73927 evictions
VERIFY AUG-CB: 24954 hits, 75046 misses, 74027 evictions
--- Zipfian (theta=0.99) ---
Policy               | Hit%(avg±sd) |    Hits |  Misses | Evicts |  Scan |  Ops/s(avg±sd) | Evict/M(avg±sd)
AUG-ADAPT            |  98.00±0.00 |   98000 |    2000 |      0 |     0 | 3975371.7±423141.9 |   0.00± 0.00
QuotaFree            |  46.09±0.00 |   46092 |   53908 |  52908 |     0 | 4794661.9±96831.1 |   0.98± 0.00

=== KPI SCOREBOARD (weights: Hit 0.60, Ops/s 0.25, EvictEff 0.15) ===
  AUG-ADAPT : 72.28
  HYBRID   : 70.42
  REMARC-BloomGate : 70.08
  ARC-FLATLL2 : 69.01
  HYBRID-FB : 65.69
  AUG-HEAP : 60.82
  LRU      : 60.31
  ARC-FLATLL : 60.08
  ARC      : 58.48
  REMARC-LFU : 57.17
  REMARC-BloomMod : 56.16
  REMARC-OPT : 56.14
  AUG-PRED : 55.90
  REMARC-TinyLFU : 55.62
  AUG-TS4  : 53.99
  REMARC-TIER : 51.92
  AUG-BOTHEND : 51.83
  ARC-FLAT : 51.41
  HYBRID-POS : 51.24
  REMARC-S3 : 50.75
  REMARC-FACT : 50.37
  REMARC-STEP : 49.03
  REMARC-MS : 48.74
  REMARC-GhostGate : 48.04
  REMARC-LazyInc : 45.72
  REMARC-GhostField : 45.51
  REMARC   : 45.34
  QuotaFree : 37.41
  REMARC-STEPK : 37.40
  REMARC-Dual : 35.28


Wrote KPI CSV: policy-bench.csv

=== THREAD SCALING (shared-nothing, Zipfian 100k ops/thread, cap=1000) ===
Threads  |     LRU Mops |     ARC Mops |     AUG Mops | LRU Hit% | ARC Hit% | AUG Hit%
-------------------------------------------------------------------------------------
1        |         9.98 |         5.39 |         1.88 |    24.7 |    34.3 |    24.9
2        |         9.89 |         9.74 |         3.26 |    24.7 |    34.3 |    24.9
4        |        13.84 |        16.95 |         5.17 |    24.7 |    34.3 |    24.9
8        |        37.44 |        19.77 |         9.42 |    24.7 |    34.3 |    24.9

